"Name","PipeSize","PipeSize1","Schedule","L","M","M1","N","Approx. Wt.","POD","PID","POD1","PID1"
"829-339","3""","2-1/2""",80,"4+1/8 in","4+5/32 in","3+15/32 in","1/2 in",".77 lb","3.500 in","2.864 in","2.875 in","2.290 in"
"829-339F","3""","2-1/2""",80,"6 in","4+1/16 in","3+7/16 in","1+3/4 in",".90 lb","3.500 in","2.864 in","2.875 in","2.290 in"
"829-416","4""","3/4""",80,"5+23/32 in","5+9/32 in","2+29/32 in","2+13/32 in","1.67 lb","4.500 in","3.786 in","1.050 in","0.722 in"
"829-417","4""","1""",80,"5+15/16 in","5+9/32 in","2+29/32 in","2+17/32 in","1.71 lb","4.500 in","3.786 in","1.315 in","0.936 in"
"829-419","4""","1-1/2""",80,"5+23/32 in","5+9/32 in","2+29/32 in","2+1/16 in","1.59 lb","4.500 in","3.786 in","1.900 in","1.476 in"
"829-420","4""","2""",80,"5+1/2 in","5+9/32 in","2+7/8 in","1+25/32 in","1.45 lb","4.500 in","3.786 in","2.375 in","1.913 in"
"829-421","4""","2-1/2""",80,"4+9/16 in","5+3/16 in","3+1/2 in","17/32 in","1.25 lb","4.500 in","3.786 in","2.875 in","2.290 in"
"829-422","4""","3""",80,"4+19/32 in","5+1/4 in","4+3/16 in","15/32 in","1.25 lb","4.500 in","3.786 in","3.500 in","2.864 in"
"829-487F","5""","2-1/2""",80,"8+1/8 in","6+1/4 in","5+3/16 in","3+5/8 in","2.64 lb","5.563 in","4.768 in","2.875 in","2.290 in"
"829-488F","5""","3""",80,"7+15/16 in","6+1/4 in","5+3/16 in","2+15/16 in","3.08 lb","5.563 in","4.768 in","3.500 in","2.864 in"
"829-490F","5""","4""",80,"7+3/4 in","6+1/4 in","5+3/16 in","2+1/2 in","2.09 lb","5.563 in","4.768 in","4.500 in","3.786 in"
"829-528","6""","2""",80,"7+1/16 in","7+1/2 in","5 in","2+9/16 in","4.37 lb","6.625 in","5.709 in","2.375 in","1.913 in"
"829-529","6""","2-1/2""",80,"6+31/32 in","7+19/32 in","5+9/32 in","2+3/16 in","4.30 lb","6.625 in","5.709 in","2.875 in","2.290 in"
"829-530","6""","3""",80,"7+1/8 in","7+9/16 in","5+9/32 in","2+1/4 in","4.07 lb","6.625 in","5.709 in","3.500 in","2.864 in"
"829-530F","6""","3""",80,"9+3/16 in","7+5/16 in","5+3/16 in","3+15/16 in","3.85 lb","6.625 in","5.709 in","3.500 in","2.864 in"
"829-532","6""","4""",80,"6+5/8 in","7+5/8 in","5+5/16 in","1+7/16 in","3.28 lb","6.625 in","5.709 in","4.500 in","3.786 in"
"829-533F","6""","5""",80,"8+15/16 in","7+3/8 in","6+5/16 in","2+11/16 in","3.57 lb","6.625 in","5.709 in","5.563 in","4.768 in"
"829-579F","8""","2-1/2""",80,"15 in","9+1/2 in","5+3/16 in","8+3/4 in","8.33 lb","8.625 in","7.565 in","2.875 in","2.290 in"
"829-580F","8""","3""",80,"14+15/16 in","9+1/2 in","5+3/16 in","8+11/16 in","7.95 lb","8.625 in","7.565 in","3.500 in","2.864 in"
"829-582","8""","4""",80,"8+29/32 in","9+23/32 in","5+1/4 in","2+15/32 in","6.31 lb","8.625 in","7.565 in","4.500 in","3.786 in"
"829-582F","8""","4""",80,"14+5/8 in","9+1/2 in","5+3/16 in","8+1/8 in","8.17 lb","8.625 in","7.565 in","4.500 in","3.786 in"
"829-583F","8""","5""",80,"14+11/16 in","9+1/2 in","6+5/16 in","7+7/16 in","7.78 lb","8.625 in","7.565 in","5.563 in","4.768 in"
"829-585","8""","6""",80,"8 in","9+3/4 in","7+1/2 in","1 in","6.16 lb","8.625 in","7.565 in","6.625 in","5.709 in"
"829-621F","10""","2""",80,"21+1/2 in","11+3/4 in","5+3/16 in","14+3/4 in","16.16 lb","10.750 in","9.493 in","2.375 in","1.913 in"
"829-623F","10""","3""",80,"21+7/16 in","11+3/4 in","5+3/16 in","14+3/16 in","15.77 lb","10.750 in","9.493 in","3.500 in","2.864 in"
"829-624F","10""","4""",80,"21+1/8 in","11+3/4 in","5+3/16 in","13+5/8 in","17.13 lb","10.750 in","9.493 in","4.500 in","3.786 in"
"829-625F","10""","5""",80,"21+3/16 in","11+3/4 in","6+5/16 in","12+15/16 in","16.38 lb","10.750 in","9.493 in","5.563 in","4.768 in"
"829-626","10""","6""",80,"10+19/32 in","12+1/32 in","7+19/32 in","2+17/32 in","11.08 lb","10.750 in","9.493 in","6.625 in","5.709 in"
"829-626F","10""","6""",80,"17+1/2 in","11+3/4 in","7+1/2 in","9 in","14.72 lb","10.750 in","9.493 in","6.625 in","5.709 in"
"829-628","10""","8""",80,"10+5/8 in","12 in","9+3/4 in","1+17/32 in","11.26 lb","10.750 in","9.493 in","8.625 in","7.565 in"
"829-628F","10""","8""",80,"13+1/4 in","11+3/4 in","9+5/8 in","3+3/4 in","11.42 lb","10.750 in","9.493 in","8.625 in","7.565 in"
"829-664F","12""","4""",80,"28+3/8 in","13+15/16 in","5+3/16 in","19+7/8 in","31.70 lb","12.750 in","11.294 in","4.500 in","3.786 in"
"829-665F","12""","5""",80,"28+7/16 in","13+15/16 in","6+5/16 in","19+3/16 in","27.25 lb","12.750 in","11.294 in","5.563 in","4.768 in"
"829-666F","12""","6""",80,"24+3/4 in","13+15/16 in","7+1/2 in","15+1/4 in","26.96 lb","12.750 in","11.294 in","6.625 in","5.709 in"
"829-668","12""","8""",80,"12+5/8 in","14+7/32 in","9+3/4 in","2+7/16 in","17.92 lb","12.750 in","11.294 in","8.625 in","7.565 in"
"829-668F","12""","8""",80,"20+1/2 in","13+15/16 in","9+5/8 in","10 in","24.34 lb","12.750 in","11.294 in","8.625 in","7.565 in"
"829-670F","12""","10""",80,"16+3/8 in","13+15/16 in","11+15/16 in","4+7/8 in","18.92 lb","12.750 in","11.294 in","10.750 in","9.493 in"
